tomoname,set,activezone,vesicles,aunps,aunp_active_zones
20231017_EGmilled24-2_68,15F1,True,True,True,"2"
20231026_HippAu_14,15F1,True,True,True
20231026_HippAu_26,15F1,True,True,True
20240111_WaffleHipp_116,15F1,True,True,True
20240111_WaffleHipp_133,15F1,True,True,True
20240111_WaffleHipp_154,15F1,True,True,True
20240111_WaffleHipp_198,15F1,True,True,True
20240624_HippWaffle_21,15F1,True,True,True
20240624_HippWaffle_86,15F1,True,True,True
20241030_AMmilled12-1_15,15F1,True,True,True,"0"
20231017_EGmilled24-2_68,15F1,True,True,True,"5"
20231026_HippAu_14,15F1,True,True,True,"5"
20231026_HippAu_26,15F1,True,True,True,"5"
20240111_WaffleHipp_116,15F1,True,True,True,"5"
20240111_WaffleHipp_133,15F1,True,True,True,"5"
20240111_WaffleHipp_154,15F1,True,True,True,"5"
20240111_WaffleHipp_198,15F1,True,True,True,"5"
20240624_HippWaffle_21,15F1,True,True,True,"5"
20240624_HippWaffle_86,15F1,True,True,True,"5"
20241030_AMmilled12-1_15,15F1,True,True,True,"5"
