Set,Tomogram name,Alignment directory,Included AZs,Notes,Vesicles segmented?,Best residual,MTs,Actin,Fusing vesicles,Recycling receptors,Clathrin,Ribosomes,Presynaptic receptor,Flotillin,Rod in presynaptic vesicle,Tissue Quality (group rankings),Tissue Quality (CJS initial rankings; 1=intact tissue; 2=slightly dissociated tissue or unsure; 3=synaptosome-like),Initial Scoring,Etomo image rotation input (degrees),Etomo estimated image rotation (degrees),Excluded views,PT residual error mean (automated IMOD patch tracking),"PT residual error mean (manually analyzed; initial, unweighted)",PT residual cutoff,"PT residual error mean (final after editing, unweighted)",#Fids used,Erased Fiducials?,Fid residual error mean,Best alignment (patch/fiducial),Thickness estimate measured in IMOD (nm),Physical pixel size,Super-resolution?,Data pixel size,Cs,Defocus target (µm),Amplitude contrast,# of tilts (intended),# of tilts (actual),Tilt range,Image rotation (degrees),Scope,Detector,Energy filter,Movie format,Total dose (e/Å2),Dose per tilt (e/Å2),Exposure time (s),# of frames,Sample,Grid prep date,Grid name,Milling date,Milling location,Milled grid name,Lamella ID,Data collection date,Data collection location,15F1Fab-AuNP,Antagonists,Cryoprotectant conditions,Fiducials added?
11B8,20250206_AMmilled27-2_100,liza_az0,0,,,0.89,,,,,,,,,,semi-tissue,2,5,98,-,-,-,0.89,-,0.89,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_100,liza_az2,0,,,0.89,,,,,,,,,,semi-tissue,2,5,98,-,-,-,0.89,-,0.89,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_101,liza_az0,0,,,0.90,,,,,,,,,,synaptosome,2,5,98,-,-,-,0.9,-,0.9,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_112,liza_az0,0,,,1.08,,,,,,,,,,semi-tissue,2,5,98,-,-,-,1.08,-,1.08,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_140,liza_az0,0,,,0.83,,,,,,,,,,semi-tissue,1,5,98,-,-,-,0.83,-,0.83,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_205,liza_az0,0,,,1.86,,,,,,,,,,synaptosome,3,5,98,-,-,-,1.86,-,1.86,-,-,-,patch,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_274,best_alignment,0,,,0.57,,,,,,,,,,synaptosome,3,5,98,-,-,-,1.75,-,1.75,8,Y,0.57,fiducial,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_287,liza_az0,0,,,0.57,,,,,,,,,,semi-tissue,2,5,98,-,-,-,-,-,-,15,Y,0.57,fiducial,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_287,best_alignment,1,,,0.57,,,,,,,,,,semi-tissue,2,5,98,-,-,-,-,-,-,15,Y,0.57,fiducial,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
11B8,20250206_AMmilled27-2_289,liza_az1,0,,,0.74,,,,,,,,,,synaptosome,3,5,98,-,-,-,-,-,-,10,Y,0.743,fiducial,,2.038,Y,1.019,0.01,-5,0.1,33,33,-68 to 28,98,Krios1@Janelia,K3,Gatan Image Filter (GIF) BioContinuum HD,.tif,120.00,3.64,0.69,10,vGlut1mScarletxPSD95GFP mouse Schaffer collateral,20241217,20241217AM#9,20250130,OHSU,AMmilled#27-2,,20250206,Janelia,40 nM,1 µM ZK; 100 nM RR2b,20% dextran; 5% sucrose,yes
