tomogram_name,cluster_number,set,alignment_dir
20231017_HippAu_132,1,15F1,best_alignment
20231017_HippAu_159,9,15F1,best_alignment
20231026_HippAu_14,3,15F1,best_alignment
20231026_HippAu_14,5,15F1,best_alignment
20231026_HippAu_26,9,15F1,best_alignment
20240111_WaffleHipp_116,11,15F1,best_alignment
20240111_WaffleHipp_128,3,15F1,best_alignment
20240111_WaffleHipp_128,5,15F1,best_alignment
20240111_WaffleHipp_128,2,15F1,best_alignment
20240111_WaffleHipp_129,6,15F1,best_alignment
20240111_WaffleHipp_133,8,15F1,best_alignment
20240111_WaffleHipp_134,5,15F1,best_alignment
20240111_WaffleHipp_134,2,15F1,best_alignment
20240111_WaffleHipp_134,9,15F1,best_alignment
20240111_WaffleHipp_135,1,15F1,best_alignment
20240111_WaffleHipp_138,11,15F1,best_alignment
20240111_WaffleHipp_154,1,15F1,best_alignment
20240111_WaffleHipp_179,5,15F1,best_alignment
20240111_WaffleHipp_179,8,15F1,best_alignment
20240111_WaffleHipp_179,6,15F1,best_alignment
20240111_WaffleHipp_198,4,15F1,best_alignment
20240111_WaffleHipp_96,2,15F1,best_alignment
20240111_WaffleHipp_96,6,15F1,best_alignment
20240523_HippWaffle_197,5,15F1,best_alignment
20240523_HippWaffle_71,5,15F1,best_alignment
20240624_HippWaffle_88,3,15F1,best_alignment
