tomoname,set,alignment_dir,cleft_IDs
20250206_AMmilled27-2_100,11B8,best_alignment,
20250206_AMmilled27-2_101,11B8,best_alignment,
20250206_AMmilled27-2_112,11B8,best_alignment,
20250206_AMmilled27-2_140,11B8,best_alignment,
20250206_AMmilled27-2_205,11B8,best_alignment,
20250206_AMmilled27-2_274,11B8,best_alignment,
20250206_AMmilled27-2_280,11B8,best_alignment,
20250206_AMmilled27-2_287,11B8,best_alignment,
20250206_AMmilled27-2_289,11B8,best_alignment,
20250206_AMmilled27-2_90,11B8,best_alignment,
