tomoname,set,alignment_dir,cleft_IDs
20241206_AMmilled24-3_107,15F1and5F11dimer,liza_az0,0
20241206_AMmilled24-3_58,15F1and5F11dimer,liza_az0,0
20241206_AMmilled24-3_92,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_120,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_138,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_64,15F1and5F11dimer,liza_az0,1
20241208_AMmilled24-1_65,15F1and5F11dimer,liza_az0,"0,1"
20241211_HippWaffle_49,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_50,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_52,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_60,15F1and5F11dimer,liza_az0,"0,1"
20241211_HippWaffle_67,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_58_7,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_86,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_87,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_88,15F1and5F11dimer,liza_az0,0
20251014_AMmilled39-1_Position_22_3,15F1and5F11dimer,liza_az2,0
20251014_AMmilled39-1_Position_33,15F1and5F11dimer,liza_az0,0
20251117_AMmilled39-3_Position_24,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-1_Position_1,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_148,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_148,15F1and5F11dimer,liza_az2,0
20251117_AMmilled40-2_Position_16_2,15F1and5F11dimer,liza_az0,"0,2"
20251117_AMmilled40-2_Position_166,15F1and5F11dimer,liza_az1,0
20251117_AMmilled40-2_Position_49,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_5,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_61,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,best_alignment,1
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,liza_az0,1
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,liza_az2,1
20260127_AMmilled50-3_Position_18_4,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_22_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_36,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_40,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_50,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_53_2,15F1and5F11dimer,liza_az1,0
20260127_AMmilled50-3_Position_57_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_6,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_64_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_77_3,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_8,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_8,15F1and5F11dimer,liza_az1,0
20260128_AMmilled50-2_Position_10_2,15F1and5F11dimer,liza_az0_rerun,0
20260128_AMmilled50-2_Position_19_5,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_19_5,15F1and5F11dimer,liza_az1,0
20260128_AMmilled50-2_Position_2_2,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_2,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_32,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_36_3,15F1and5F11dimer,liza_az0,1
20260128_AMmilled50-2_Position_45_5,15F1and5F11dimer,liza_az0,0
20260131_AMmilled50-1_Position_12,15F1and5F11dimer,liza_az1,0
