tomoname,set,alignment_dir,activezone,vesicles,aunps,aunp_active_zones
20231026_HippAu_14,15F1,best_alignment,True,True,True,6
20231026_HippAu_26,15F1,best_alignment,True,True,True,6
20240111_WaffleHipp_116,15F1,best_alignment,True,True,True,6
20240111_WaffleHipp_133,15F1,best_alignment,True,True,True,6
20240111_WaffleHipp_154,15F1,best_alignment,True,True,True,6
20240624_HippWaffle_21,15F1,best_alignment,True,True,True,6
20240624_HippWaffle_86,15F1,best_alignment,True,True,True,6
20241030_AMmilled12-1_15,15F1,best_alignment,True,True,True,6
20231026_HippAu_14_model,15F1,best_alignment,True,True,True,7
20231026_HippAu_26_model,15F1,best_alignment,True,True,True,7
20240111_WaffleHipp_116_model,15F1,best_alignment,True,True,True,7
20240111_WaffleHipp_133_model,15F1,best_alignment,True,True,True,7
20240111_WaffleHipp_154_model,15F1,best_alignment,True,True,True,7
20240624_HippWaffle_21_model,15F1,best_alignment,True,True,True,7
20240624_HippWaffle_86_model,15F1,best_alignment,True,True,True,7
20241030_AMmilled12-1_15_model,15F1,best_alignment,True,True,True,7
