tomoname,set,alignment_dir,activezone,vesicles,aunps,aunp_active_zones
20250206_AMmilled27-2_100,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_100,11B8,liza_az2,True,True,True,0
20250206_AMmilled27-2_101,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_112,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_140,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_205,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_274,11B8,best_alignment,True,True,True,0
20250206_AMmilled27-2_287,11B8,best_alignment,True,True,True,1
20250206_AMmilled27-2_287,11B8,liza_az0,True,True,True,0
20250206_AMmilled27-2_289,11B8,liza_az1,True,True,True,0
