tomoname,set,alignment_dir,activezone,vesicles,aunps,aunp_active_zones
20251028_AMmilled32-1_Position_104,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_104_2,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_19,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_31_3,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_31_5,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_36_4,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_42,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_43,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_44,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_56_7,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_57_4,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_65,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_70_4,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_71_4,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_77_2,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_79,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_79_2,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_82,15F1-H12Cys,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_85,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_85_2,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_86_3,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_89,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_95_3,15F1-H12Cys,liza_az0,True,True,True,0
