tomoname,set,alignment_dir,cleft_IDs
AMmilled49-1_Position_10_2,15F1-H4K2Cys,best_alignment,0
AMmilled49-1_Position_20,15F1-H4K2Cys,liza_az0,0
AMmilled49-1_Position_28,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_20,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_24_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_32,15F1-H4K2Cys,best_alignment,0
AMmilled49-2_Position_33_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_7,15F1-H4K2Cys,liza_az0,0
AMmilled49-3_Position_26,15F1-H4K2Cys,liza_az0,0
AMmilled49-3_Position_4_2,15F1-H4K2Cys,liza_az0,0
AMmilled54-1_Position_6,15F1-H4K2Cys,best_alignment,0
AMmilled54-1_Position_61,15F1-H4K2Cys,liza_az0,0
AMmilled54-2_Position_6_3,15F1-H4K2Cys,best_alignment,0
AMmilled55-1_Position_10_3,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_110,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_112_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_14,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_21_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_21_3,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_34,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_35_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_38,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_43,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_47,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_48,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_49,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_5,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_55,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_57,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled55-1_Position_75,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_82,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_87_2,15F1-H4K2Cys,liza_az2,0
AMmilled55-1_Position_98,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_21_4,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_22_4,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_34_2,15F1-H4K2Cys,liza_az0,0
