tomoname,set,alignment_dir,activezone,vesicles,aunps,aunp_active_zones
20231017_HippAu_132,15F1,best_alignment,True,True,True,"2"
20240111_WaffleHipp_91,15F1,best_alignment,True,True,True,0
20240111_WaffleHipp_96,15F1,liza_az0,True,True,True,0
20240624_HippWaffle_22,15F1,liza_az0,True,True,True,0
20231026_HippAu_26,15F1,liza_az0,True,True,True,0
20240111_WaffleHipp_195,15F1,liza_az0,True,True,True,0
20240111_WaffleHipp_116,15F1,best_alignment,True,True,True,0
20251028_AMmilled32-1_Position_42,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_70_4,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_95_3,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_104,15F1-H12Cys,liza_az0,True,True,True,0
20251028_AMmilled32-1_Position_85,15F1-H12Cys,liza_az0,True,True,True,0
AMmilled49-2_Position_33_2,15F1-H4K2Cys,liza_az0,True,True,True,0
AMmilled54-1_Position_61,15F1-H4K2Cys,liza_az0,True,True,True,0
AMmilled55-2_Position_21_4,15F1-H4K2Cys,liza_az0,True,True,True,0
