tomoname,set,alignment_dir,cleft_IDs
20240822_HippWaffle_118,5F11,best_alignment,0
20240822_HippWaffle_119,5F11,liza_az0,0
20240822_HippWaffle_125,5F11,liza_az0,0
20240822_HippWaffle_129,5F11,liza_az0,0
20240822_HippWaffle_134,5F11,liza_az0,0
20240822_HippWaffle_136,5F11,liza_az0,0
20240822_HippWaffle_25,5F11,best_alignment,0
20240822_HippWaffle_29,5F11,best_alignment,0
20240822_HippWaffle_51,5F11,best_alignment,0
20240822_HippWaffle_56,5F11,liza_az0,0
20240822_HippWaffle_99,5F11,liza_az0,0
20240830_AMmilled16_108,5F11,liza_az0,0
20240920_HippWaffle_109,5F11,liza_az0,0
20240920_HippWaffle_110,5F11,best_alignment,0
20240920_HippWaffle_113,5F11,liza_az0,0
20240920_HippWaffle_114,5F11,liza_az0,0
20240920_HippWaffle_129,5F11,liza_az1,0
20240920_HippWaffle_134,5F11,liza_az0,0
20240920_HippWaffle_136,5F11,best_alignment,0
20240920_HippWaffle_146,5F11,liza_az0,0
20240920_HippWaffle_148,5F11,best_alignment,0
20240920_HippWaffle_156,5F11,liza_az0,0
20240920_HippWaffle_180,5F11,liza_az0,0
20240920_HippWaffle_55,5F11,liza_az0,0
20240920_HippWaffle_99,5F11,liza_az0,0
20241202_AMmilled19-2_Position_11,5F11,liza_az0,0
20241202_AMmilled19-2_Position_12,5F11,best_alignment,0
20241202_AMmilled19-2_Position_7,5F11,liza_az0,0
20241202_AMmilled23-1_Position_17,5F11,liza_az0,0
