tomoname,set,alignment_dir,cleft_IDs
20250206_AMmilled27-2_100,11B8,liza_az0,0
20250206_AMmilled27-2_100,11B8,liza_az2,0
20250206_AMmilled27-2_101,11B8,liza_az0,0
20250206_AMmilled27-2_112,11B8,liza_az0,0
20250206_AMmilled27-2_140,11B8,liza_az0,0
20250206_AMmilled27-2_205,11B8,liza_az0,0
20250206_AMmilled27-2_274,11B8,best_alignment,0
20250206_AMmilled27-2_287,11B8,best_alignment,1
20250206_AMmilled27-2_287,11B8,liza_az0,0
20250206_AMmilled27-2_289,11B8,liza_az1,0
20230509_CryoProDexSucB_51,15F1,liza_az0,0
20230509_CryoProDexSucB_92,15F1,liza_az0,0
20230509_CryoProDexSucB_95,15F1,liza_az0,0
20230512-EG18pos2_80,15F1,best_alignment,0
20230629_CryoPro_157,15F1,liza_az0,0
20231017_EGmilled24-2_60,15F1,best_alignment,0
20231017_EGmilled24-2_68,15F1,liza_az2,0
20231017_EGmilled24-2_77,15F1,liza_az0,0
20231017_HippAu_132,15F1,best_alignment,"0,2"
20231017_HippAu_141,15F1,best_alignment,2
20231017_HippAu_141,15F1,liza_az0,0
20231017_HippAu_144,15F1,liza_az0,0
20231017_HippAu_150,15F1,liza_az0,0
20231017_HippAu_159,15F1,liza_az0,0
20231026_HippAu_14,15F1,best_alignment,0
20231026_HippAu_26,15F1,liza_az0,0
20231026_HippAu_30,15F1,liza_az0,0
20240111_WaffleHipp_116,15F1,best_alignment,0
20240111_WaffleHipp_127,15F1,best_alignment,0
20240111_WaffleHipp_128,15F1,best_alignment,0
20240111_WaffleHipp_129,15F1,liza_az0,0
20240111_WaffleHipp_132,15F1,liza_az0,0
20240111_WaffleHipp_133,15F1,liza_az0,0
20240111_WaffleHipp_134,15F1,best_alignment,0
20240111_WaffleHipp_135,15F1,best_alignment,0
20240111_WaffleHipp_150,15F1,liza_az0,0
20240111_WaffleHipp_154,15F1,best_alignment,0
20240111_WaffleHipp_176,15F1,liza_az0,0
20240111_WaffleHipp_179,15F1,best_alignment,0
20240111_WaffleHipp_183,15F1,best_alignment,0
20240111_WaffleHipp_195,15F1,liza_az0,0
20240111_WaffleHipp_198,15F1,best_alignment,0
20240111_WaffleHipp_227,15F1,best_alignment,0
20240111_WaffleHipp_69,15F1,liza_az2,0
20240111_WaffleHipp_87,15F1,liza_az0,0
20240111_WaffleHipp_91,15F1,best_alignment,0
20240111_WaffleHipp_96,15F1,liza_az0,0
20240112_AMmilled4-2_89,15F1,liza_az0,0
20240209_waffleHip_165,15F1,best_alignment,0
20240209_waffleHip_35,15F1,best_alignment,0
20240209_waffleHip_71,15F1,liza_az0,0
20240209_waffleHip_78,15F1,best_alignment,0
20240307_AMmilled6_252,15F1,liza_az0,0
20240523_HippWaffle_168,15F1,liza_az0,0
20240523_HippWaffle_197,15F1,best_alignment,"0,1"
20240523_HippWaffle_65,15F1,liza_az0,0
20240523_HippWaffle_71,15F1,liza_az0,0
20240523_HippWaffle_91,15F1,best_alignment,0
20240523_HippWaffle_99,15F1,liza_az0,0
20240624_HippWaffle_17,15F1,liza_az0,0
20240624_HippWaffle_18,15F1,liza_az0,0
20240624_HippWaffle_21,15F1,liza_az0,0
20240624_HippWaffle_22,15F1,liza_az0,0
20240624_HippWaffle_76,15F1,liza_az1_rerun,"0,1"
20240624_HippWaffle_83,15F1,best_alignment,0
20240624_HippWaffle_86,15F1,liza_az0_rerun,0
20240624_HippWaffle_88,15F1,best_alignment,0
20240624_HippWaffle_88,15F1,liza_az0_rerun,0
20240624_HippWaffle_88,15F1,liza_az1_rerun,0
20240901_AMmilled13-1_43,15F1,best_alignment,0
20241030_AMmilled12-1_12,15F1,liza_az0,0
20241030_AMmilled12-1_15,15F1,best_alignment,0
20241030_AMmilled12-1_15,15F1,liza_az2,2
20241030_AMmilled12-2_30,15F1,liza_az0_rerun,0
20241030_AMmilled12-2_41,15F1,liza_az1_rerun,0
20241030_AMmilled12-2_53,15F1,liza_az0_rerun,0
20241030_AMmilled12-2_62,15F1,liza_az0_rerun,0
20241030_AMmilled12-2_78,15F1,liza_az0_rerun,0
20251028_AMmilled32-1_Position_104,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_104_2,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_19,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_31_3,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_31_5,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_36_4,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_42,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_43,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_44,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_56_7,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_57_4,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_65,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_70_4,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_71_4,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_77_2,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_79,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_79_2,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_82,15F1-H12Cys,best_alignment,0
20251028_AMmilled32-1_Position_85,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_85_2,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_86_3,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_89,15F1-H12Cys,liza_az0,0
20251028_AMmilled32-1_Position_95_3,15F1-H12Cys,liza_az0,0
20251027_CZII_AMmilled41-1_H1-2Cys_quis_Position_14_3,15F1-H12Cys_quis,liza_az0,0
20251027_CZII_AMmilled41-1_H1-2Cys_quis_Position_17,15F1-H12Cys_quis,liza_az0,0
20251027_CZII_AMmilled41-1_H1-2Cys_quis_Position_5_2,15F1-H12Cys_quis,best_alignment,0
20251027_CZII_AMmilled41-3_H1-2Cys_quis_Position_1,15F1-H12Cys_quis,best_alignment,0
20251027_CZII_AMmilled41-3_H1-2Cys_quis_Position_1_2,15F1-H12Cys_quis,liza_az0,0
20251027_CZII_AMmilled41-3_H1-2Cys_quis_Position_32,15F1-H12Cys_quis,liza_az0,0
20251027_CZII_AMmilled41-3_H1-2Cys_quis_Position_32_2,15F1-H12Cys_quis,liza_az0,0
AMmilled49-1_Position_10_2,15F1-H4K2Cys,best_alignment,0
AMmilled49-1_Position_20,15F1-H4K2Cys,liza_az0,0
AMmilled49-1_Position_28,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_17,15F1-H4K2Cys,best_alignment,0
AMmilled49-2_Position_20,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_24,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_24_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_32,15F1-H4K2Cys,best_alignment,0
AMmilled49-2_Position_33_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_7,15F1-H4K2Cys,liza_az0,0
AMmilled49-2_Position_7_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-3_Position_26,15F1-H4K2Cys,liza_az0,0
AMmilled49-3_Position_4_2,15F1-H4K2Cys,liza_az0,0
AMmilled49-3_Position_4_2,15F1-H4K2Cys,liza_az1,0
AMmilled54-1_Position_2,15F1-H4K2Cys,liza_az0,0
AMmilled54-1_Position_15,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled54-1_Position_33,15F1-H4K2Cys,best_alignment,0
AMmilled54-1_Position_6,15F1-H4K2Cys,best_alignment,0
AMmilled54-1_Position_61,15F1-H4K2Cys,liza_az0,0
AMmilled54-1_Position_65,15F1-H4K2Cys,liza_az0,0
AMmilled54-1_Position_68,15F1-H4K2Cys,best_alignment,0
AMmilled54-1_Position_95,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled54-1_Position_95,15F1-H4K2Cys,liza_az1_rerun,0
AMmilled54-1_Position_99,15F1-H4K2Cys,liza_az0,0
AMmilled54-2_Position_6_3,15F1-H4K2Cys,best_alignment,0
AMmilled55-1_Position_10_3,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_110,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_112_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_14,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_18_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_21_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_21_3,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_34,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_35_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_38,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_43,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_44,15F1-H4K2Cys,best_alignment,0
AMmilled55-1_Position_47,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_48,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_49,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_49,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_5,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_55,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_57,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled55-1_Position_6,15F1-H4K2Cys,best_alignment,1
AMmilled55-1_Position_62,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled55-1_Position_69,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_75,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_75,15F1-H4K2Cys,liza_az1,0
AMmilled55-1_Position_82,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_82,15F1-H4K2Cys,liza_az1_rerun,0
AMmilled55-1_Position_87_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_87_2,15F1-H4K2Cys,liza_az2,0
AMmilled55-1_Position_96,15F1-H4K2Cys,liza_az0,0
AMmilled55-1_Position_98,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_10,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_21_4,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_22_4,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_34_2,15F1-H4K2Cys,liza_az0,0
AMmilled55-2_Position_35_2,15F1-H4K2Cys,liza_az0_rerun,0
AMmilled55-2_Position_7,15F1-H4K2Cys,liza_az0,0
20240819_HippWaffle_43,15F1and5F11,liza_az0,0
20240819_HippWaffle_52,15F1and5F11,liza_az0,0
20240820_HippWaffle_109,15F1and5F11,liza_az0,0
20240820_HippWaffle_16,15F1and5F11,liza_az0,0
20240820_HippWaffle_26,15F1and5F11,liza_az0,0
20240820_HippWaffle_60,15F1and5F11,best_alignment,0
20240820_HippWaffle_69,15F1and5F11,best_alignment,0
20240820_HippWaffle_76,15F1and5F11,best_alignment,0
20240820_HippWaffle_97,15F1and5F11,best_alignment,0
20241018_HippWaffleDual_110,15F1and5F11,liza_az1,0
20241018_HippWaffleDual_127,15F1and5F11,best_alignment,0
20241018_HippWaffleDual_127,15F1and5F11,liza_az1,1
20241018_HippWaffleDual_153,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_166,15F1and5F11,best_alignment,0
20241018_HippWaffleDual_177,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_50,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_68,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_79,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_81,15F1and5F11,liza_az0,0
20241018_HippWaffleDual_93,15F1and5F11,liza_az0,0
20240822_HippWaffle_118,5F11,best_alignment,0
20240822_HippWaffle_119,5F11,liza_az0,0
20240822_HippWaffle_125,5F11,liza_az0,0
20240822_HippWaffle_129,5F11,liza_az0,0
20240822_HippWaffle_134,5F11,liza_az0,0
20240822_HippWaffle_136,5F11,liza_az0,0
20240822_HippWaffle_25,5F11,best_alignment,0
20240822_HippWaffle_29,5F11,best_alignment,0
20240822_HippWaffle_51,5F11,best_alignment,0
20240822_HippWaffle_56,5F11,liza_az0,0
20240822_HippWaffle_99,5F11,liza_az0,0
20240830_AMmilled16_108,5F11,liza_az0,0
20240920_HippWaffle_109,5F11,liza_az0,0
20240920_HippWaffle_110,5F11,best_alignment,0
20240920_HippWaffle_113,5F11,liza_az0,0
20240920_HippWaffle_114,5F11,liza_az0,0
20240920_HippWaffle_129,5F11,liza_az1,0
20240920_HippWaffle_134,5F11,liza_az0,0
20240920_HippWaffle_136,5F11,best_alignment,0
20240920_HippWaffle_146,5F11,liza_az0,0
20240920_HippWaffle_148,5F11,best_alignment,0
20240920_HippWaffle_156,5F11,liza_az0,0
20240920_HippWaffle_180,5F11,liza_az0,0
20240920_HippWaffle_55,5F11,liza_az0,0
20240920_HippWaffle_99,5F11,liza_az0,0
20241202_AMmilled19-2_Position_11,5F11,liza_az0,0
20241202_AMmilled19-2_Position_12,5F11,best_alignment,0
20241202_AMmilled19-2_Position_7,5F11,liza_az0,0
20241202_AMmilled23-1_Position_17,5F11,liza_az0,0
20241206_AMmilled24-3_107,15F1and5F11dimer,liza_az0,0
20241206_AMmilled24-3_58,15F1and5F11dimer,liza_az0,0
20241206_AMmilled24-3_92,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_120,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_138,15F1and5F11dimer,liza_az0,0
20241208_AMmilled24-1_64,15F1and5F11dimer,liza_az0,1
20241208_AMmilled24-1_65,15F1and5F11dimer,liza_az0,"0,1"
20241211_HippWaffle_49,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_50,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_52,15F1and5F11dimer,liza_az0,0
20241211_HippWaffle_60,15F1and5F11dimer,liza_az0,"0,1"
20241211_HippWaffle_67,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_58_7,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_86,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_87,15F1and5F11dimer,liza_az0,0
20250418_AMmilled29-2_Position_88,15F1and5F11dimer,liza_az0,0
20251014_AMmilled39-1_Position_22_3,15F1and5F11dimer,liza_az2,0
20251014_AMmilled39-1_Position_33,15F1and5F11dimer,liza_az0,0
20251117_AMmilled39-3_Position_24,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-1_Position_1,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_148,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_148,15F1and5F11dimer,liza_az2,0
20251117_AMmilled40-2_Position_16_2,15F1and5F11dimer,liza_az0,"0,2"
20251117_AMmilled40-2_Position_166,15F1and5F11dimer,liza_az1,0
20251117_AMmilled40-2_Position_49,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_5,15F1and5F11dimer,liza_az0,0
20251117_AMmilled40-2_Position_61,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,best_alignment,1
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,liza_az0,1
20260127_AMmilled50-3_Position_13_3,15F1and5F11dimer,liza_az2,1
20260127_AMmilled50-3_Position_18_4,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_22_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_36,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_40,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_50,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_53_2,15F1and5F11dimer,liza_az1,0
20260127_AMmilled50-3_Position_57_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_6,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_64_2,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_77_3,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_8,15F1and5F11dimer,liza_az0,0
20260127_AMmilled50-3_Position_8,15F1and5F11dimer,liza_az1,0
20260128_AMmilled50-2_Position_10_2,15F1and5F11dimer,liza_az0_rerun,0
20260128_AMmilled50-2_Position_19_5,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_19_5,15F1and5F11dimer,liza_az1,0
20260128_AMmilled50-2_Position_2_2,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_2,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_32,15F1and5F11dimer,liza_az0,0
20260128_AMmilled50-2_Position_36_3,15F1and5F11dimer,liza_az0,1
20260128_AMmilled50-2_Position_45_5,15F1and5F11dimer,liza_az0,0
20260131_AMmilled50-1_Position_12,15F1and5F11dimer,liza_az1,0
20250226_CZmilledH-1_Position_1,unlabeled,best_alignment,0
20250226_CZmilledH-1_Position_2_2,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_102_2,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_104,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_105_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_115_2,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_118_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_124_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_16,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_16_6,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_30,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_30_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_32_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_33,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_47,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_51_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_53_2,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_58,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_63_3,unlabeled,best_alignment,0
20250227_AMmilled25-3_Position_64,unlabeled,best_alignment,0
